code;mouvt;mois;prod;poids;mod;immat;droit;cfakg;ori;lon_ori;lat_ori;dis_km_ori;dis_mn_ori;des;lon_des;lat_des;dis_km_des;dis_mn_des
44;entrée;2014-07-01;attiéké sec;920;pick-up;iv;500;0;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
45;entrée;2014-07-01;mil;1000;camion;iv;1000;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
46;entrée;2014-07-01;bété bété;22920;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
47;entrée;2014-07-01;riz paddy iguapé;10960;pick-up;iv;500;2;sakassou;-5,2914;7,4555;47;44;mgb;-5,0248;7,6971;0;0
48;entrée;2014-07-01;mil;17720;gros camion;iv;2000;2;mali;-7,473;11,4071;477;669;mgb;-5,0248;7,6971;0;0
49;entrée;2014-07-01;attiéké sec;1040;voiture de transport;iv;0;0;diabo;-5,1722;7,7852;28;26;mgb;-5,0248;7,6971;0;0
50;entrée;2014-07-01;kpassadjo;1540;pick-up;iv;500;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
51;entrée;2014-07-01;riz paddy bké 189;140;pick-up;iv;500;2;kounahiri;-5,8355;7,7901;90;97;mgb;-5,0248;7,6971;0;0
52;entrée;2014-07-01;florido;760;camion;iv;1000;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
53;entrée;2014-07-01;riz blanchi iguapé;2000;pick-up;iv;500;2;katiola;-5,1018;8,1401;38;51;mgb;-5,0248;7,6971;0;0
54;entrée;2014-07-01;kpassadjo;6640;camion;iv;1000;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
55;entrée;2014-07-01;bété bété;16660;camion;iv;1000;2;niakara;-5,2874;8,6614;84;116;mgb;-5,0248;7,6971;0;0
56;entrée;2014-07-01;mil;66240;gros camion;iv;2000;2;mali;-7,473;11,4071;477;669;mgb;-5,0248;7,6971;0;0
57;entrée;2014-07-01;kléglé;7200;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
58;entrée;2014-07-01;oignons;1880;gros camion;iv;2000;2;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
59;sortie;2014-07-01;banane plantain;0;gros camion;iv;2000;0;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
60;entrée;2014-07-01;assawa;1840;pick-up;iv;500;2;didiévi;-4,893;7,1256;87;75;mgb;-5,0248;7,6971;0;0
61;entrée;2014-07-01;bété bété;14880;camion;md;1000;2;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
62;entrée;2014-07-01;arachide decortiquée;17440;gros camion;iv;2000;2;korhogo;-5,6316;9,4577;176;220;mgb;-5,0248;7,6971;0;0
63;entrée;2014-07-01;divers;80;camion;iv;1000;0;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
64;entrée;2014-07-01;bété bété;23080;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
65;entrée;2014-07-01;attiéké sec;1720;pick-up;iv;500;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
66;entrée;2014-07-01;riz local bké 189;2180;pick-up;iv;500;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
67;entrée;2014-07-01;kponan;3900;camion;iv;1000;2;mankono;-6,1883;8,0556;179;156;mgb;-5,0248;7,6971;0;0
68;entrée;2014-07-01;riz paddy iguapé;21080;camion;iv;1000;2;oumé;-5,4232;6,3793;145;175;mgb;-5,0248;7,6971;0;0
69;entrée;2014-07-01;mil;11400;camion;iv;1000;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
70;entrée;2014-07-01;riz blanchi iguapé;1600;pick-up;iv;500;2;sakassou;-5,2914;7,4555;47;44;mgb;-5,0248;7,6971;0;0
71;entrée;2014-07-01;bété bété;5340;pick-up;iv;500;2;béoumi;-5,5791;7,6714;60;64;mgb;-5,0248;7,6971;0;0
72;entrée;2014-07-01;bété bété;980;pick-up;iv;500;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
73;entrée;2014-07-01;bété bété;840;camion;iv;1000;2;kouto;-6,4126;9,8924;308;363;mgb;-5,0248;7,6971;0;0
74;sortie;2014-07-01;banane plantain;18820;gros camion;iv;2000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
75;entrée;2014-07-01;bété bété;380;pick-up;iv;500;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
76;entrée;2014-07-01;arachide decortiquée;1160;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
77;entrée;2014-07-01;mais grain;16160;camion;iv;1000;2;mankono;-6,1883;8,0556;179;156;mgb;-5,0248;7,6971;0;0
78;entrée;2014-07-01;florido;9260;pick-up;iv;500;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
79;entrée;2014-07-01;bété bété;520;pick-up;iv;500;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
80;sortie;2014-07-01;banane plantain;0;gros camion;iv;2000;2;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
81;entrée;2014-07-01;bété bété;3580;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
82;entrée;2014-07-01;bété bété;16480;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
83;entrée;2014-07-01;arachide decortiquée;1300;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
84;entrée;2014-07-01;bété bété;6280;pick-up;iv;500;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
85;entrée;2014-07-01;mais grain;1760;pick-up;iv;500;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
86;entrée;2014-07-01;riz paddy bké 189;6420;camion;iv;1000;2;ferké;-5,1973;9,5924;162;228;mgb;-5,0248;7,6971;0;0
87;entrée;2014-07-01;riz blanchi iguapé;7180;pick-up;iv;500;2;bamoro;-5,049;7,8315;13;16;mgb;-5,0248;7,6971;0;0
88;entrée;2014-07-01;kléglé;29500;camion;iv;1000;2;bondoukou;-2,803;8,039;398;396;mgb;-5,0248;7,6971;0;0
89;entrée;2014-07-01;arachide decortiquée;17440;gros camion;iv;2000;2;korhogo;-5,6316;9,4577;176;220;mgb;-5,0248;7,6971;0;0
90;entrée;2014-07-01;bété bété;380;pick-up;iv;500;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
91;entrée;2014-07-01;bété bété;840;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
92;entrée;2014-07-01;banane plantain;31640;camion;md;1000;0;vavoua;-6,4806;7,3803;239;299;mali;-7,473;11,4071;477;669
93;entrée;2014-07-01;banane plantain;34560;camion;md;1000;0;sinfra;-5,908;6,6165;152;188;mali;-7,473;11,4071;477;669
94;entrée;2014-07-01;bété bété;22880;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
95;entrée;2014-07-01;mais grain;19640;camion;iv;1000;2;tafiré;-5,1628;9,0688;119;167;mgb;-5,0248;7,6971;0;0
96;entrée;2014-07-01;attiéké sec;260;pick-up;iv;500;0;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
97;entrée;2014-07-01;bété bété;4180;pick-up;iv;500;2;moronou;-4,9716;6,3211;130;178;mgb;-5,0248;7,6971;0;0
98;entrée;2014-07-01;attiéké sec;1920;pick-up;iv;500;0;sakassou;-5,2914;7,4555;47;44;mgb;-5,0248;7,6971;0;0
99;entrée;2014-07-01;riz paddy bké 189;6360;pick-up;iv;500;2;katiola;-5,1018;8,1401;38;51;mgb;-5,0248;7,6971;0;0
100;entrée;2014-07-01;mais grain;1000;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
