VALUE,LCZ1,latitude,longitude
"24.41000000,""6"",6.69,3.52"
"24.43000000,""8"",6.69,3.51"
"24.19000000,""6"",6.69,3.54"
"24.39000000,""3"",6.69,3.53"
"22.49000000,""9"",6.69,3.63"
"22.57000000,""11"",6.69,3.62"
"22.17000000,""11"",6.69,3.65"
"22.35000000,""12"",6.69,3.64"
"23.97000000,""6"",6.69,3.60"
"24.05000000,""6"",6.69,3.59"
"23.31000000,""9"",6.69,3.61"
"23.79000000,""9"",6.69,3.60"
"23.65000000,""6"",6.69,3.42"
"23.61000000,""9"",6.69,3.41"
"22.91000000,""6"",6.69,3.43"
"23.23000000,""6"",6.69,3.42"
"23.83000000,""9"",6.69,3.38"
"24.07000000,""6"",6.69,3.37"
"23.05000000,""14"",6.69,3.40"
"23.53000000,""12"",6.69,3.39"
"24.39000000,""6"",6.69,3.49"
"24.27000000,""6"",6.69,3.48"
"24.45000000,""3"",6.69,3.51"
"24.55000000,""6"",6.69,3.50"
"23.43000000,""11"",6.69,3.45"
"22.85000000,""11"",6.69,3.44"
"24.09000000,""6"",6.69,3.47"
"23.73000000,""6"",6.69,3.46"
"23.25000000,""9"",6.67,3.73"
"22.67000000,""9"",6.67,3.70"
"22.57000000,""9"",6.67,3.69"
"23.27000000,""9"",6.67,3.72"
"22.95000000,""13"",6.67,3.71"
"24.27000000,""6"",6.67,3.60"
"24.29000000,""6"",6.67,3.59"
"23.85000000,""6"",6.67,3.61"
"24.09000000,""6"",6.67,3.60"
"23.49000000,""6"",6.67,3.56"
"23.79000000,""9"",6.67,3.55"
"24.19000000,""6"",6.67,3.58"
"23.71000000,""6"",6.67,3.57"
"23.45000000,""6"",6.67,3.67"
"23.09000000,""12"",6.67,3.66"
"22.77000000,""11"",6.67,3.69"
"23.29000000,""6"",6.67,3.68"
"22.87000000,""9"",6.67,3.63"
"23.29000000,""9"",6.67,3.62"
"22.75000000,""11"",6.67,3.65"
"22.75000000,""9"",6.67,3.64"
"23.33000000,""6"",6.67,3.45"
"23.03000000,""6"",6.67,3.44"
"23.87000000,""6"",6.67,3.47"
"23.51000000,""6"",6.67,3.46"
"22.99000000,""9"",6.67,3.42"
"23.27000000,""9"",6.67,3.41"
"22.59000000,""11"",6.67,3.43"
"22.41000000,""9"",6.67,3.42"
"24.39000000,""8"",6.67,3.52"
"24.31000000,""8"",6.67,3.51"
"24.11000000,""6"",6.67,3.54"
"24.49000000,""8"",6.67,3.53"
"24.29000000,""6"",6.67,3.49"
"24.11000000,""6"",6.67,3.48"
"24.09000000,""9"",6.67,3.51"
"24.13000000,""6"",6.67,3.50"
"25.25000000,""3"",6.67,3.31"
"24.77000000,""3"",6.67,3.30"
"25.17000000,""3"",6.67,3.33"
"25.23000000,""3"",6.67,3.32"
"24.85000000,""3"",6.67,3.27"
"24.91000000,""3"",6.67,3.26"
"24.67000000,""3"",6.67,3.29"
"24.53000000,""3"",6.67,3.28"
"24.17000000,""9"",6.67,3.38"
"24.57000000,""3"",6.67,3.37"
"23.51000000,""11"",6.67,3.40"
"23.93000000,""14"",6.67,3.39"
"24.73000000,""3"",6.67,3.34"
"24.73000000,""3"",6.67,3.33"
"24.67000000,""3"",6.67,3.36"
"24.73000000,""3"",6.67,3.35"
"24.01000000,""6"",6.67,3.16"
"23.39000000,""6"",6.67,3.15"
"24.27000000,""3"",6.67,3.18"
"24.13000000,""6"",6.67,3.17"
"23.83000000,""6"",6.67,3.13"
"23.95000000,""9"",6.67,3.12"
"23.41000000,""6"",6.67,3.15"
"23.47000000,""6"",6.67,3.14"
"24.23000000,""6"",6.67,3.24"
"24.25000000,""6"",6.67,3.23"
"24.85000000,""3"",6.67,3.25"
"24.59000000,""6"",6.67,3.24"
"24.09000000,""8"",6.67,3.20"
"24.19000000,""6"",6.67,3.19"
"24.23000000,""6"",6.67,3.22"
"24.01000000,""6"",6.67,3.21"
"22.41000000,""12"",6.67,3.02"
"22.29000000,""12"",6.67,3.01"
"23.25000000,""14"",6.67,3.04"
"22.61000000,""9"",6.67,3.03"
"23.13000000,""9"",6.67,2.98"
"22.73000000,""9"",6.67,2.97"
"22.27000000,""12"",6.67,3.00"
"22.69000000,""14"",6.67,2.99"
"24.01000000,""9"",6.67,3.09"
"23.61000000,""6"",6.67,3.08"
"24.11000000,""6"",6.67,3.11"
"24.09000000,""6"",6.67,3.10"
"23.35000000,""9"",6.67,3.06"
"23.31000000,""9"",6.67,3.05"
"23.51000000,""9"",6.67,3.07"
"23.53000000,""9"",6.67,3.06"
"22.67000000,""14"",6.67,2.89"
"22.39000000,""14"",6.67,2.95"
"22.35000000,""12"",6.67,2.94"
"22.49000000,""14"",6.67,2.97"
"22.47000000,""14"",6.67,2.96"
"22.27000000,""12"",6.67,2.91"
"22.53000000,""14"",6.67,2.90"
"22.25000000,""11"",6.67,2.93"
"21.99000000,""11"",6.67,2.92"
"25.17000000,""3"",6.65,3.34"
"25.25000000,""3"",6.65,3.33"
"24.83000000,""3"",6.65,3.36"
"24.97000000,""3"",6.65,3.35"
"25.15000000,""3"",6.65,3.31"
"24.63000000,""3"",6.65,3.30"
"25.37000000,""6"",6.65,3.33"
"25.29000000,""3"",6.65,3.32"
"22.55000000,""14"",6.65,3.42"
"23.65000000,""6"",6.65,3.41"
"22.23000000,""9"",6.65,3.43"
"22.35000000,""14"",6.65,3.42"
"24.13000000,""6"",6.65,3.38"
"24.19000000,""3"",6.65,3.37"
"23.97000000,""6"",6.65,3.40"
"24.11000000,""8"",6.65,3.39"
"24.15000000,""6"",6.65,3.20"
"22.15000000,""12"",7.04,3.15"
"24.13000000,""6"",6.65,3.19"
"21.93000000,""12"",7.04,3.14"
"23.93000000,""6"",6.65,3.22"
"22.45000000,""12"",7.04,3.16"
"24.13000000,""6"",6.65,3.21"
"22.43000000,""12"",7.04,3.15"
"23.77000000,""6"",6.65,3.16"
"22.19000000,""12"",7.04,3.11"
"22.91000000,""12"",6.65,3.15"
"22.25000000,""12"",7.04,3.10"
"24.09000000,""6"",6.65,3.18"
"21.85000000,""12"",7.04,3.13"
"24.05000000,""6"",6.65,3.17"
"21.81000000,""12"",7.04,3.12"
"25.09000000,""3"",6.65,3.27"
"23.39000000,""14"",7.04,3.22"
"24.97000000,""3"",6.65,3.26"
"23.25000000,""14"",7.04,3.21"
"24.95000000,""3"",6.65,3.29"
"23.35000000,""9"",7.04,3.24"
"25.03000000,""3"",6.65,3.28"
"23.39000000,""14"",7.04,3.23"
"23.71000000,""9"",6.65,3.24"
"22.49000000,""12"",7.04,3.18"
"23.77000000,""14"",6.65,3.23"
"22.49000000,""12"",7.04,3.17"
"24.85000000,""3"",6.65,3.25"
"22.85000000,""14"",7.04,3.20"
"24.43000000,""7"",6.65,3.24"
"22.47000000,""12"",7.04,3.19"
"22.67000000,""9"",6.65,3.06"
"22.83000000,""12"",7.04,3.00"
"22.63000000,""12"",6.65,3.05"
"22.85000000,""12"",7.04,2.99"
"23.53000000,""9"",6.65,3.07"
"22.41000000,""14"",7.04,3.02"
"23.33000000,""9"",6.65,3.06"
"22.73000000,""14"",7.04,3.01"
"22.13000000,""14"",6.65,3.02"
"22.73000000,""9"",7.04,2.97"
"22.15000000,""12"",6.65,3.01"
"22.57000000,""12"",7.04,2.96"
"22.51000000,""12"",6.65,3.04"
"22.81000000,""13"",7.04,2.98"
"22.05000000,""12"",6.65,3.03"
"22.69000000,""12"",7.04,2.97"
"23.01000000,""9"",6.65,3.13"
"22.37000000,""12"",7.04,3.07"
"23.19000000,""9"",6.65,3.12"
"22.47000000,""12"",7.04,3.06"
"22.75000000,""9"",6.65,3.15"
"22.23000000,""12"",7.04,3.09"
"22.79000000,""9"",6.65,3.14"
"22.29000000,""12"",7.04,3.08"
"23.71000000,""9"",6.65,3.09"
"22.69000000,""11"",7.04,3.04"
"23.65000000,""6"",6.65,3.08"
"22.51000000,""12"",7.04,3.03"
"23.41000000,""9"",6.65,3.11"
"22.51000000,""12"",7.04,3.06"
"23.63000000,""9"",6.65,3.10"
"22.51000000,""12"",7.04,3.05"
"22.29000000,""11"",6.65,2.91"
"22.63000000,""14"",6.65,2.90"
"22.37000000,""11"",6.65,2.93"
"22.03000000,""9"",6.65,2.92"
"22.57000000,""14"",6.65,2.89"
"22.35000000,""12"",6.65,2.98"
"22.29000000,""14"",7.04,2.93"
"22.37000000,""12"",6.65,2.97"
"22.31000000,""12"",7.04,2.92"
"22.15000000,""14"",6.65,3.00"
"22.19000000,""14"",7.04,2.95"
"22.27000000,""9"",6.65,2.99"
"22.19000000,""14"",7.04,2.94"
"22.55000000,""12"",6.65,2.95"
"22.07000000,""13"",7.04,2.89"
"22.51000000,""12"",6.65,2.94"
"22.37000000,""12"",6.65,2.97"
"22.37000000,""14"",7.04,2.91"
"22.49000000,""12"",6.65,2.96"
"22.41000000,""14"",7.04,2.90"
"21.61000000,""11"",7.05,3.70"
"21.67000000,""11"",7.05,3.69"
"21.59000000,""11"",7.05,3.72"
"21.57000000,""12"",7.05,3.71"
"23.37000000,""9"",6.66,3.72"
"22.01000000,""11"",7.05,3.67"
"22.57000000,""9"",6.66,3.71"
"22.03000000,""11"",7.05,3.66"
"21.51000000,""11"",7.05,3.69"
"23.39000000,""9"",6.66,3.73"
"21.61000000,""11"",7.05,3.68"
"21.55000000,""9"",7.05,3.73"
"23.77000000,""6"",6.66,3.61"
"21.49000000,""11"",7.05,3.56"
"23.95000000,""9"",6.66,3.60"
"21.45000000,""12"",7.05,3.55"
"23.01000000,""11"",6.66,3.63"
"21.47000000,""12"",7.05,3.58"
"23.49000000,""6"",6.66,3.62"
"21.63000000,""12"",7.05,3.57"
"24.17000000,""6"",6.66,3.58"
"21.81000000,""12"",7.05,3.52"
"23.89000000,""6"",6.66,3.57"
"21.87000000,""12"",7.05,3.51"
"24.07000000,""6"",6.66,3.60"
"21.41000000,""12"",7.05,3.54"
"24.23000000,""6"",6.66,3.59"
"21.71000000,""12"",7.05,3.53"
"22.99000000,""9"",6.66,3.69"
"21.95000000,""11"",7.05,3.63"
"23.47000000,""6"",6.66,3.68"
"21.79000000,""11"",7.05,3.62"
"22.53000000,""9"",6.66,3.70"
"22.17000000,""11"",7.05,3.65"
"22.47000000,""11"",6.66,3.69"
"22.23000000,""11"",7.05,3.64"
"22.83000000,""11"",6.66,3.65"
"21.45000000,""11"",7.05,3.60"
"22.69000000,""11"",6.66,3.64"
"21.43000000,""11"",7.05,3.59"
"23.73000000,""6"",6.66,3.67"
"21.57000000,""11"",7.05,3.61"
"23.35000000,""9"",6.66,3.66"
"21.49000000,""11"",7.05,3.60"
"23.49000000,""6"",6.66,3.47"
"21.39000000,""14"",7.05,3.42"
"23.39000000,""6"",6.66,3.46"
"21.63000000,""14"",7.05,3.41"
"24.15000000,""6"",6.66,3.49"
"21.79000000,""12"",7.05,3.43"
"23.77000000,""6"",6.66,3.48"
"21.67000000,""14"",7.05,3.42"
"22.47000000,""11"",6.66,3.43"
"22.13000000,""12"",7.05,3.38"
"22.41000000,""14"",6.66,3.42"
"22.13000000,""12"",7.05,3.37"
"23.25000000,""6"",6.66,3.45"
"21.99000000,""12"",7.05,3.40"
"23.01000000,""6"",6.66,3.44"
"22.03000000,""12"",7.05,3.39"
"23.87000000,""9"",6.66,3.54"
"21.99000000,""11"",7.05,3.49"
"24.07000000,""6"",6.66,3.53"
"21.39000000,""12"",7.05,3.48"
"23.79000000,""6"",6.66,3.56"
"22.09000000,""12"",7.05,3.51"
"23.79000000,""9"",6.66,3.55"
"22.07000000,""11"",7.05,3.50"
"24.27000000,""6"",6.66,3.51"
"21.67000000,""14"",7.05,3.45"
"24.21000000,""6"",6.66,3.50"
"22.05000000,""12"",7.05,3.44"
"24.33000000,""3"",6.66,3.52"
"21.13000000,""12"",7.05,3.47"
"24.35000000,""3"",6.66,3.51"
"21.35000000,""12"",7.05,3.46"
"25.33000000,""3"",6.66,3.33"
"22.85000000,""9"",7.05,3.27"
"25.49000000,""3"",6.66,3.32"
"23.23000000,""9"",7.05,3.26"
"24.93000000,""6"",6.66,3.34"
"22.73000000,""12"",7.05,3.29"
"24.99000000,""3"",6.66,3.33"
"22.65000000,""9"",7.05,3.28"
"24.79000000,""3"",6.66,3.29"
"23.23000000,""14"",7.05,3.24"
"24.71000000,""3"",6.66,3.28"
"23.23000000,""14"",7.05,3.23"
"25.63000000,""3"",6.66,3.31"
"23.25000000,""9"",7.05,3.25"
"24.85000000,""3"",6.66,3.30"
"23.27000000,""9"",7.05,3.24"
"23.57000000,""9"",6.66,3.40"
"21.97000000,""9"",7.05,3.34"
"23.91000000,""9"",6.66,3.39"
"21.99000000,""12"",7.05,3.33"
"22.71000000,""14"",6.66,3.42"
"22.05000000,""12"",7.05,3.36"
"23.31000000,""6"",6.66,3.41"
"21.89000000,""12"",7.05,3.35"
"24.65000000,""6"",6.66,3.36"
"22.39000000,""9"",7.05,3.31"
"24.81000000,""3"",6.66,3.35"
"22.65000000,""9"",7.05,3.30"
"24.15000000,""6"",6.66,3.38"
"22.05000000,""9"",7.05,3.33"
"24.45000000,""6"",6.66,3.37"
"22.19000000,""13"",7.05,3.32"
"24.23000000,""6"",6.66,3.18"
"21.99000000,""12"",7.05,3.13"
"24.09000000,""6"",6.66,3.17"
"21.99000000,""12"",7.05,3.12"
"24.25000000,""6"",6.66,3.20"
"22.23000000,""12"",7.05,3.15"
"24.19000000,""6"",6.66,3.19"
"22.07000000,""12"",7.05,3.14"
"23.25000000,""9"",6.66,3.15"
"22.25000000,""12"",7.05,3.09"
"23.25000000,""9"",6.66,3.14"
"22.29000000,""12"",7.05,3.08"
"23.91000000,""9"",6.66,3.16"
"22.09000000,""12"",7.05,3.11"
"23.21000000,""9"",6.66,3.15"
"22.15000000,""12"",7.05,3.10"
"24.85000000,""3"",6.66,3.25"
"23.29000000,""14"",7.05,3.20"
"24.45000000,""6"",6.66,3.24"
"23.17000000,""12"",7.05,3.19"
"25.19000000,""3"",6.66,3.27"
"23.21000000,""14"",7.05,3.22"
"25.05000000,""3"",6.66,3.26"
"23.41000000,""14"",7.05,3.21"
"24.33000000,""6"",6.66,3.22"
"22.43000000,""12"",7.05,3.16"
"24.39000000,""6"",6.66,3.21"
"22.37000000,""12"",7.05,3.15"
"24.17000000,""6"",6.66,3.24"
"22.87000000,""12"",7.05,3.18"
"24.31000000,""6"",6.66,3.23"
"22.69000000,""12"",7.05,3.17"
"22.79000000,""12"",6.66,3.04"
"22.77000000,""11"",7.05,2.98"
"22.17000000,""12"",6.66,3.03"
"23.09000000,""9"",7.05,2.97"
"23.15000000,""9"",6.66,3.06"
"22.63000000,""12"",7.05,3.00"
"22.93000000,""12"",6.66,3.05"
"22.71000000,""12"",7.05,2.99"
"21.91000000,""12"",6.66,3.00"
"22.25000000,""12"",7.05,2.95"
"22.43000000,""14"",6.66,2.99"
"22.23000000,""14"",7.05,2.94"
"22.13000000,""12"",6.66,3.02"
"23.11000000,""9"",7.05,2.97"
"22.05000000,""12"",6.66,3.01"
"22.79000000,""13"",7.05,2.96"
"23.77000000,""9"",6.66,3.11"
"22.43000000,""12"",7.05,3.06"
"23.89000000,""6"",6.66,3.10"
"22.47000000,""12"",7.05,3.05"
"23.35000000,""9"",6.66,3.13"
"22.33000000,""12"",7.05,3.07"
"23.59000000,""9"",6.66,3.12"
"22.37000000,""12"",7.05,3.06"
"23.67000000,""9"",6.66,3.07"
"22.49000000,""12"",7.05,3.02"
"23.59000000,""14"",6.66,3.06"
"22.51000000,""12"",7.05,3.01"
"23.97000000,""6"",6.66,3.09"
"22.73000000,""12"",7.05,3.04"
"23.75000000,""6"",6.66,3.08"
"22.63000000,""12"",7.05,3.03"
"22.49000000,""14"",6.66,2.89"
"22.09000000,""12"",6.66,2.91"
"22.45000000,""14"",6.66,2.90"
"22.51000000,""14"",6.66,2.97"
"22.45000000,""9"",7.05,2.91"
"22.53000000,""14"",6.66,2.96"
"22.53000000,""9"",7.05,2.90"
"22.97000000,""9"",6.66,2.98"
"22.41000000,""9"",7.05,2.93"
"22.69000000,""14"",6.66,2.97"
"22.39000000,""12"",7.05,2.92"
"22.23000000,""11"",6.66,2.93"
"21.91000000,""11"",6.66,2.92"
"22.51000000,""14"",6.66,2.95"
"22.21000000,""9"",7.05,2.89"
"22.43000000,""12"",6.66,2.94"
"21.69000000,""11"",7.03,3.73"
"21.97000000,""11"",7.03,3.70"
"22.07000000,""11"",7.03,3.69"
"21.85000000,""11"",7.03,3.72"
"21.87000000,""11"",7.03,3.71"
"22.97000000,""11"",6.64,3.65"
"21.49000000,""11"",7.03,3.60"
"23.01000000,""11"",6.64,3.64"
"21.35000000,""12"",7.03,3.59"
"23.45000000,""9"",6.64,3.67"
"21.91000000,""11"",7.03,3.61"
"23.05000000,""11"",6.64,3.66"
"21.77000000,""11"",7.03,3.60"
"23.27000000,""9"",6.64,3.61"
"21.51000000,""12"",7.03,3.56"
"23.71000000,""6"",6.64,3.60"
"21.65000000,""12"",7.03,3.55"
"22.97000000,""9"",6.64,3.63"
"21.57000000,""12"",7.03,3.58"
"22.91000000,""12"",6.64,3.62"
"21.49000000,""12"",7.03,3.57"
"23.51000000,""9"",6.64,3.72"
"22.09000000,""11"",7.03,3.67"
"23.69000000,""6"",6.64,3.71"
"22.31000000,""11"",7.03,3.66"
"22.15000000,""11"",7.03,3.69"
"23.47000000,""9"",6.64,3.73"
"22.03000000,""11"",7.03,3.68"
"22.85000000,""11"",6.64,3.69"
"22.13000000,""11"",7.03,3.63"
"23.09000000,""9"",6.64,3.68"
"21.95000000,""11"",7.03,3.62"
"23.45000000,""9"",6.64,3.70"
"22.37000000,""11"",7.03,3.65"
"23.31000000,""9"",6.64,3.69"
"22.31000000,""11"",7.03,3.64"
"24.21000000,""6"",6.64,3.51"
"21.41000000,""12"",7.03,3.45"
"24.31000000,""3"",6.64,3.50"
"21.59000000,""12"",7.03,3.44"
"24.25000000,""6"",6.64,3.52"
"20.97000000,""12"",7.03,3.47"
"24.35000000,""3"",6.64,3.51"
"20.95000000,""14"",7.03,3.46"
"23.09000000,""6"",6.64,3.47"
"21.63000000,""12"",7.03,3.42"
"22.67000000,""9"",6.64,3.46"
"21.77000000,""14"",7.03,3.41"
"24.09000000,""3"",6.64,3.49"
"21.67000000,""14"",7.03,3.43"
"23.75000000,""3"",6.64,3.48"
"21.67000000,""12"",7.03,3.42"
"24.15000000,""6"",6.64,3.58"
"21.87000000,""12"",7.03,3.52"
"24.21000000,""6"",6.64,3.57"
"21.77000000,""12"",7.03,3.51"
"23.69000000,""9"",6.64,3.60"
"21.79000000,""12"",7.03,3.54"
"23.69000000,""6"",6.64,3.59"
"21.81000000,""12"",7.03,3.53"
"24.15000000,""6"",6.64,3.54"
"21.39000000,""12"",7.03,3.49"
"24.13000000,""9"",6.64,3.53"
"21.03000000,""11"",7.03,3.48"
"24.29000000,""6"",6.64,3.56"
"21.73000000,""12"",7.03,3.51"
"24.25000000,""6"",6.64,3.55"
"21.57000000,""12"",7.03,3.50"
"25.07000000,""3"",6.64,3.36"
"21.65000000,""11"",7.03,3.31"
"25.17000000,""3"",6.64,3.35"
"21.89000000,""11"",7.03,3.30"
"24.41000000,""8"",6.64,3.38"
"21.61000000,""12"",7.03,3.33"
"24.47000000,""3"",6.64,3.37"
"21.55000000,""11"",7.03,3.32"
"25.49000000,""3"",6.64,3.33"
"21.85000000,""12"",7.03,3.27"
"25.31000000,""3"",6.64,3.32"
"21.95000000,""12"",7.03,3.26"
"25.29000000,""3"",6.64,3.34"
"21.93000000,""14"",7.03,3.29"
"25.39000000,""3"",6.64,3.33"
"21.89000000,""12"",7.03,3.28"
"22.13000000,""9"",6.64,3.43"
"21.65000000,""12"",7.03,3.38"
"22.45000000,""14"",6.64,3.42"
"21.33000000,""12"",7.03,3.37"
"22.33000000,""11"",6.64,3.45"
"21.65000000,""12"",7.03,3.40"
"22.17000000,""11"",6.64,3.44"
"21.69000000,""12"",7.03,3.39"
"24.25000000,""6"",6.64,3.40"
"21.85000000,""11"",7.03,3.34"
"24.53000000,""3"",6.64,3.39"
"21.73000000,""12"",7.03,3.33"
"22.81000000,""9"",6.64,3.42"
"21.67000000,""12"",7.03,3.36"
"23.71000000,""6"",6.64,3.41"
"21.87000000,""12"",7.03,3.35"
"24.07000000,""6"",6.64,3.22"
"22.51000000,""12"",7.03,3.16"
"24.13000000,""6"",6.64,3.21"
"22.55000000,""12"",7.03,3.15"
"24.15000000,""9"",6.64,3.24"
"22.37000000,""12"",7.03,3.18"
"24.03000000,""14"",6.64,3.23"
"22.47000000,""12"",7.03,3.17"
"23.89000000,""6"",6.64,3.18"
"21.75000000,""12"",7.03,3.13"
"23.91000000,""6"",6.64,3.17"
"21.55000000,""12"",7.03,3.12"
"23.95000000,""6"",6.64,3.20"
"22.21000000,""12"",7.03,3.15"
"23.95000000,""6"",6.64,3.19"
"21.95000000,""12"",7.03,3.14"
"25.19000000,""7"",6.64,3.29"
"23.39000000,""14"",7.03,3.24"
"25.19000000,""3"",6.64,3.28"
"23.31000000,""12"",7.03,3.23"
"25.19000000,""3"",6.64,3.31"
"22.85000000,""12"",7.03,3.25"
"24.89000000,""3"",6.64,3.30"
"23.17000000,""14"",7.03,3.24"
"24.67000000,""3"",6.64,3.25"
"22.55000000,""14"",7.03,3.20"
"24.55000000,""6"",6.64,3.24"
"22.53000000,""12"",7.03,3.19"
"24.89000000,""3"",6.64,3.27"
"23.11000000,""12"",7.03,3.22"
"24.75000000,""3"",6.64,3.26"
"22.49000000,""12"",7.03,3.21"
"23.21000000,""9"",6.64,3.07"
"23.05000000,""9"",7.03,3.02"
"23.03000000,""9"",6.64,3.06"
"23.03000000,""12"",7.03,3.01"
"23.37000000,""9"",6.64,3.09"
"23.29000000,""12"",7.03,3.04"
"23.51000000,""9"",6.64,3.08"
"23.07000000,""12"",7.03,3.03"
"22.53000000,""12"",6.64,3.04"
"22.69000000,""9"",7.03,2.98"
"22.11000000,""12"",6.64,3.03"
"22.53000000,""13"",7.03,2.97"
"22.67000000,""9"",6.64,3.06"
"23.01000000,""12"",7.03,3.00"
"22.75000000,""9"",6.64,3.05"
"22.95000000,""12"",7.03,2.99"
"22.41000000,""11"",6.64,3.15"
"22.23000000,""12"",7.03,3.09"
"22.53000000,""9"",6.64,3.14"
"22.31000000,""12"",7.03,3.08"
"23.59000000,""9"",6.64,3.16"
"22.11000000,""12"",7.03,3.11"
"23.05000000,""12"",6.64,3.15"
"22.19000000,""12"",7.03,3.10"
"23.11000000,""9"",6.64,3.11"
"22.81000000,""12"",7.03,3.06"
"23.37000000,""9"",6.64,3.10"
"23.01000000,""12"",7.03,3.05"
"22.83000000,""12"",6.64,3.13"
"22.39000000,""14"",7.03,3.07"
"22.93000000,""9"",6.64,3.12"
"22.55000000,""14"",7.03,3.06"
"22.07000000,""9"",6.64,2.93"
"21.79000000,""9"",6.64,2.92"
"22.39000000,""11"",6.64,2.95"
"22.11000000,""13"",7.03,2.89"
"22.25000000,""12"",6.64,2.94"
"22.57000000,""14"",6.64,2.89"
"22.21000000,""12"",6.64,2.91"
"22.57000000,""12"",6.64,2.90"
"21.83000000,""14"",6.64,3.00"
"22.23000000,""13"",7.03,2.95"
"21.97000000,""14"",6.64,2.99"
"22.13000000,""14"",7.03,2.94"
"22.17000000,""12"",6.64,3.02"
"22.41000000,""12"",7.03,2.97"
"22.07000000,""14"",6.64,3.01"
"22.53000000,""9"",7.03,2.96"
"22.33000000,""12"",6.64,2.97"
"22.19000000,""9"",7.03,2.91"
"22.43000000,""9"",6.64,2.96"
"22.19000000,""13"",7.03,2.90"
"22.05000000,""12"",6.64,2.98"
"22.17000000,""14"",7.03,2.93"
"22.25000000,""9"",6.64,2.97"
"22.19000000,""9"",7.03,2.92"
"21.55000000,""11"",7.04,3.72"
"21.55000000,""11"",7.04,3.71"
"21.57000000,""12"",7.04,3.73"
"21.95000000,""11"",7.04,3.69"
"23.37000000,""12"",6.65,3.73"
"21.95000000,""11"",7.04,3.68"
"21.83000000,""11"",7.04,3.70"
"21.99000000,""11"",7.04,3.69"
"22.89000000,""12"",6.65,3.63"
"21.53000000,""12"",7.04,3.58"
"23.29000000,""9"",6.65,3.62"
"21.49000000,""12"",7.04,3.57"
"23.03000000,""11"",6.65,3.65"
"21.31000000,""11"",7.04,3.60"
"22.81000000,""12"",6.65,3.64"
"21.39000000,""12"",7.04,3.59"
"23.91000000,""6"",6.65,3.60"
"21.55000000,""11"",7.04,3.54"
"24.01000000,""6"",6.65,3.59"
"21.65000000,""12"",7.04,3.53"
"23.73000000,""9"",6.65,3.61"
"21.43000000,""12"",7.04,3.56"
"23.93000000,""6"",6.65,3.60"
"21.37000000,""12"",7.04,3.55"
"22.77000000,""9"",6.65,3.70"
"22.31000000,""12"",7.04,3.65"
"22.53000000,""9"",6.65,3.69"
"22.37000000,""11"",7.04,3.64"
"23.37000000,""9"",6.65,3.72"
"22.07000000,""11"",7.04,3.67"
"23.05000000,""9"",6.65,3.71"
"22.13000000,""11"",7.04,3.66"
"23.23000000,""6"",6.65,3.67"
"21.83000000,""11"",7.04,3.61"
"23.13000000,""11"",6.65,3.66"
"21.55000000,""11"",7.04,3.60"
"22.97000000,""11"",6.65,3.69"
"22.13000000,""11"",7.04,3.63"
"23.09000000,""9"",6.65,3.68"
"21.95000000,""11"",7.04,3.62"
"24.23000000,""7"",6.65,3.49"
"21.81000000,""14"",7.04,3.43"
"24.01000000,""3"",6.65,3.48"
"21.69000000,""14"",7.04,3.42"
"24.29000000,""6"",6.65,3.51"
"21.91000000,""9"",7.04,3.45"
"24.31000000,""6"",6.65,3.50"
"22.29000000,""14"",7.04,3.44"
"22.61000000,""6"",6.65,3.45"
"21.79000000,""14"",7.04,3.40"
"22.51000000,""9"",6.65,3.44"
"21.87000000,""14"",7.04,3.39"
"23.55000000,""6"",6.65,3.47"
"21.47000000,""14"",7.04,3.42"
"22.81000000,""9"",6.65,3.46"
"21.79000000,""14"",7.04,3.41"
"24.11000000,""6"",6.65,3.56"
"21.77000000,""12"",7.04,3.51"
"24.23000000,""6"",6.65,3.55"
"21.65000000,""12"",7.04,3.50"
"24.15000000,""6"",6.65,3.58"
"21.79000000,""11"",7.04,3.52"
"23.99000000,""11"",6.65,3.57"
"21.83000000,""12"",7.04,3.51"
"24.33000000,""6"",6.65,3.52"
"21.09000000,""14"",7.04,3.47"
"24.39000000,""3"",6.65,3.51"
"21.37000000,""14"",7.04,3.46"
"24.09000000,""6"",6.65,3.54"
"21.55000000,""11"",7.04,3.49"
"24.21000000,""6"",6.65,3.53"
"21.13000000,""12"",7.04,3.48"
"24.05000000,""9"",6.72,3.20"
"22.27000000,""11"",7.04,3.29"
"23.89000000,""6"",6.72,3.19"
"22.45000000,""12"",7.04,3.28"
"24.65000000,""6"",6.72,3.22"
"21.99000000,""11"",7.04,3.31"
"24.23000000,""6"",6.72,3.21"
"22.11000000,""12"",7.04,3.30"
"24.23000000,""6"",6.72,3.16"
"23.19000000,""11"",7.04,3.25"
"23.77000000,""11"",6.72,3.15"
"23.33000000,""9"",7.04,3.24"
"24.21000000,""6"",6.72,3.18"
"22.37000000,""12"",7.04,3.27"
"24.19000000,""6"",6.72,3.17"
"22.33000000,""12"",7.04,3.26"
"24.77000000,""6"",6.72,3.27"
"21.85000000,""9"",7.04,3.36"
"24.71000000,""3"",6.72,3.26"
"21.67000000,""14"",7.04,3.35"
"24.89000000,""3"",6.72,3.29"
"21.91000000,""12"",7.04,3.38"
"24.99000000,""3"",6.72,3.28"
"21.97000000,""12"",7.04,3.37"
"24.85000000,""3"",6.72,3.24"
"21.73000000,""12"",7.04,3.33"
"24.75000000,""8"",6.72,3.23"
"21.85000000,""11"",7.04,3.32"
"24.79000000,""3"",6.72,3.25"
